id_viagem,id_veiculo,regiao,data_viagem,km_rodado,custo_combustivel,custo_pedagio,faturamento_viagem,custo_total,margem
VEI-001-202501-000,VEI-001,Sudeste,2025-01-03,334.0,666.08,103.59,4719.22,769.6700000000001,3949.55
VEI-001-202501-001,VEI-001,Sudeste,2025-01-19,343.0,686.48,57.96,3864.98,744.44,3120.54
VEI-001-202501-002,VEI-001,Sudeste,2025-01-15,346.5,611.73,86.08,2397.31,697.8100000000001,1699.5
VEI-001-202501-003,VEI-001,Sudeste,2025-01-23,472.8,837.57,110.51,4585.47,948.08,3637.3900000000003
VEI-001-202501-004,VEI-001,Sudeste,2025-01-21,364.3,708.74,77.56,3275.35,786.3,2489.05
VEI-001-202501-005,VEI-001,Sudeste,2025-01-18,328.7,538.8,85.67,3103.12,624.4699999999999,2478.65
VEI-001-202501-006,VEI-001,Sudeste,2025-01-27,417.1,714.31,72.45,5651.15,786.76,4864.389999999999
VEI-001-202501-007,VEI-001,Sudeste,2025-01-01,298.8,539.5,71.97,1978.79,611.47,1367.32
VEI-001-202501-008,VEI-001,Sudeste,2025-01-09,387.2,690.45,66.64,2419.0,757.09,1661.9099999999999
VEI-001-202501-009,VEI-001,Sudeste,2025-01-24,403.2,726.31,67.77,3749.72,794.0799999999999,2955.64
VEI-001-202501-010,VEI-001,Sudeste,2025-01-21,413.8,776.01,116.4,3455.04,892.41,2562.63
VEI-001-202501-011,VEI-001,Sudeste,2025-01-23,223.3,456.97,71.44,2193.35,528.4100000000001,1664.9399999999998
VEI-001-202501-012,VEI-001,Sudeste,2025-01-19,459.5,840.63,80.4,5038.42,921.03,4117.39
VEI-001-202501-013,VEI-001,Sudeste,2025-01-14,286.5,586.19,54.04,2944.95,640.23,2304.72
VEI-001-202501-014,VEI-001,Sudeste,2025-01-02,246.4,433.04,80.51,1460.55,513.5500000000001,946.9999999999999
VEI-001-202501-015,VEI-001,Sudeste,2025-01-15,243.7,466.35,74.78,2493.11,541.13,1951.98
VEI-001-202501-016,VEI-001,Sudeste,2025-01-09,207.1,349.11,57.95,2348.85,407.06,1941.79
VEI-001-202501-017,VEI-001,Sudeste,2025-01-11,515.6,812.52,91.17,5201.4,903.6899999999999,4297.71
VEI-001-202501-018,VEI-001,Sudeste,2025-01-18,368.3,714.66,71.27,2115.78,785.93,1329.8500000000004
VEI-001-202501-019,VEI-001,Sudeste,2025-01-17,514.4,864.8,136.04,6076.85,1000.8399999999999,5076.01
VEI-001-202501-020,VEI-001,Sudeste,2025-01-09,309.5,521.83,73.12,3084.37,594.95,2489.42
VEI-001-202501-021,VEI-001,Sudeste,2025-01-11,348.2,607.49,87.31,3821.01,694.8,3126.21
