mes,faturamento,custo,margem,viagens,km_total,margem_pct
2025-01,6425316.99,1285534.42,5139782.57,1845,622544.0,79.99266927996341
2025-02,6250193.1,1259448.71,4990744.39,1794,610221.7,79.84944321160253
2025-03,6298778.52,1267020.94,5031757.58,1836,615003.3,79.88465643018039
2025-04,6254247.15,1258681.97,4995565.18,1792,608771.3,79.8747644630577
2025-05,6230918.02,1251924.06,4978993.96,1793,606742.5,79.907871424699
2025-06,5960651.35,1197454.95,4763196.4,1714,580316.6,79.91066949419883
2025-07,6279205.86,1257119.98,5022085.88,1817,611185.5,79.979634239926
2025-08,6384410.19,1280609.97,5103800.22,1815,621129.7,79.94160882698547
2025-09,6324467.05,1268526.48,5055940.57,1819,616067.7,79.94255531776389
2025-10,6136115.49,1223185.49,4912930.0,1770,595427.8,80.06580071718956
2025-11,6564551.53,1315228.89,5249322.64,1871,637986.7,79.96468023764602
2025-12,6555270.89,1308141.96,5247128.93,1853,633862.5,80.04442559352417
